X,Y,OBJECTID,WINE_RT_NA,INFR_1,icon_url
18.8583050434011,-33.9197529752468,"368",S29,,
18.8587090263891,-33.9212140273898,"369",S30,,
18.8584139621948,-33.9218979587499,"370",S31,,
18.8561209710441,-33.9246090311235,"371",S32,,
18.8561030137096,-33.9244189653325,"372",S33,,
18.8561719688632,-33.9243800091381,"373",S34,,
18.8725030540647,-33.9248080202514,"374",S35,,
18.8732479585661,-33.9247460419526,"375",S36,,
18.8814449618123,-33.9196229896099,"376",S37,,
18.8887169822599,-33.911914009544,"377",S38,,
18.8912479590828,-33.9078699610618,"378",S39,,
18.8967140281895,-33.9052120442862,"379",S40,,
18.8988310146093,-33.9050800118848,"380",S41,,
18.8742280121039,-33.9245850398133,"381",S42,,
18.8771479710621,-33.9251260271763,"382",S43,,
18.9182710509496,-33.9225290340684,"383",S44,,
18.9191419863321,-33.9207640282182,"384",S45,,
18.9197360001502,-33.9196249569915,"385",S46,,
18.9212360115442,-33.9181129561704,"386",S47,,
18.9227370018961,-33.9189319670088,"387",S48,,
18.9239560007747,-33.9197369920277,"388",S49,,
18.9280310008018,-33.9202279867671,"389",S50,,
18.9293090281307,-33.918911031914,"390",S51,,
18.9299599565553,-33.9183429809685,"391",S52,,
18.9318899997282,-33.917158985018,"392",S53,,
18.9343340246055,-33.9160350059537,"393",S54,,
18.9360810008803,-33.9152719570517,"394",S55,,
18.9387040344965,-33.9140819907926,"395",S56,,
18.9404490372829,-33.9127780424589,"396",S57,,
18.9420649594849,-33.9119940190905,"397",S58,,
18.9489360227516,-33.9086269964831,"398",S59,,
18.9437660340366,-33.911577032014,"399",S60,,
18.942206017117,-33.9120739622279,"400",S61,,
18.9408010440059,-33.9127270044743,"401",S62,,
18.941032048551,-33.913149037782,"402",S63,,
18.9383860036745,-33.9143940365554,"403",S64,,
18.9329980178592,-33.9168370206837,"404",S65,,
18.9410309712437,-33.922875966295,"405",S66,,
18.9442700386541,-33.9331590165777,"406",S67,,
18.9437429788882,-33.9325080445164,"407",S68,,
18.9481729481776,-33.9274150177,"408",S69,,
18.9489440452384,-33.9267229556509,"409",S70,,
18.9322260472052,-33.9170800148787,"410",S71,,
18.9306059746173,-33.9179519867895,"411",S72,,
18.930312052461,-33.9182179563677,"412",S73,,
18.9250719675778,-33.9205369837514,"413",S74,,
18.9245289462502,-33.9202129984443,"414",S75,,
18.9239349769822,-33.919787014716,"415",S76,,
18.9233999832998,-33.9194449983519,"416",S77,,
18.9200009683981,-33.9196009680851,"417",S78,,
18.9193170436984,-33.9207910090345,"418",S79,,
18.8825219633708,-33.9255930405374,"419",S80,,
18.8782739902088,-33.9254429552791,"420",S81,,
18.8754510153896,-33.924832042875,"421",S82,,
18.874214001068,-33.9247729968612,"422",S83,,
18.8583030289153,-33.9165929772917,"423",S84,,
18.8588890078581,-33.9022989563056,"424",S85,,
18.8592590290666,-33.8969460055763,"425",S86,,
18.8506829863135,-33.8877169720842,"426",S87,,
18.8495099658783,-33.8864349880861,"427",S88,,
18.8485660501383,-33.885207998411,"428",S89,,
18.8489990282668,-33.8716189571104,"429",S90,,
18.8487310210201,-33.8703139969534,"430",S91,,
18.8485290285027,-33.868657963546,"431",S92,,
18.8552480266089,-33.8527890106105,"432",S93,,
18.8576279488804,-33.8494839877394,"433",S94,,
18.8587430362795,-33.8482459965752,"434",S95,,
18.8624509711264,-33.8459190444721,"435",S96,,
18.8645889835613,-33.8445770154091,"436",S97,,
18.8662699820134,-33.8437369797909,"437",S98,,
18.8679209640827,-33.8426520270385,"438",S99,,
18.8724559964836,-33.8364750267755,"439",S100,,
18.8743939793237,-33.8351260367453,"440",S101,,
18.8750500411997,-33.8348510077732,"441",S102,,
18.8775139974003,-33.8333980098421,"442",S103,,
18.878790995443,-33.8319810355548,"443",S104,,
18.8784330508511,-33.8167420384747,"444",S105,,
18.876695030123,-33.8132099939976,"445",S106,,
18.8758730000276,-33.8115569743079,"446",S107,,
18.8747539645735,-33.8093309778215,"447",S108,,
18.8732939922749,-33.8063999622196,"448",S109,,
18.8727800311578,-33.8051569950037,"449",S110,,
18.8721790481146,-33.8031100147488,"450",S111,,
18.8712259701799,-33.7998120205243,"451",S112,,
18.8265799984793,-33.8148789912324,"452",S113,,
18.8188229820654,-33.8229339731448,"453",S114,,
18.8175909523135,-33.8232730352924,"454",S115,,
18.8168299496621,-33.8234780028341,"455",S116,,
18.8159090051914,-33.8237150029131,"456",S117,,
18.8138420130617,-33.824326039517,"457",S118,,
18.8120600391873,-33.8248480418984,"458",S119,,
18.7998269468741,-33.8284100380166,"459",S120,,
18.7998129771542,-33.8281930112022,"460",S121,,
18.8118229883837,-33.8247730316385,"461",S122,,
18.816087991658,-33.8235649806913,"462",S123,,
18.8173769806677,-33.8232659568925,"463",S124,,
18.8238709993017,-33.8163669583811,"464",S125,,
18.8268490512871,-33.8172900415528,"465",S126,,
18.827342951846,-33.8182230334357,"466",S127,,
18.8284920322765,-33.8205859926412,"467",S128,,
18.8277000290029,-33.8191460052114,"468",S129,,
18.827130950748,-33.8181550296263,"469",S130,,
18.8260739967284,-33.8162030262501,"470",S131,,
18.8188229820654,-33.8229339731448,"471",S114a,,
18.7934676000681,-33.8264596400359,"472",,sgn,
18.7939943204611,-33.8271771297304,"473",,sgn,
18.7944659696533,-33.8278296602002,"474",,ent,
18.7947019194572,-33.8281573102663,"475",,sgn,
18.7949337594485,-33.8284841199258,"476",,sgn,
18.7968907704884,-33.8322612600639,"477",,sgn,
18.7970226198057,-33.8330922399035,"478",,sgn,
18.7972011495562,-33.8346793498357,"479",,sgn,
18.803127580157,-33.8463291895524,"480",,sgn,
18.8036779296364,-33.8473471698968,"481",,sgn,
18.8114759505598,-33.8630189799985,"482",,sgn,
18.8141019194199,-33.8737205801543,"483",,ent,
18.8245300096949,-33.8892984299145,"484",,sgn,
18.8273091996632,-33.8915685000118,"485",,sgn,
18.8285431801229,-33.8922591701612,"486",,ent,
18.8273749095691,-33.8917289301869,"487",,sgn,
18.826237400487,-33.8910250198891,"488",,sgn,
18.8262457894326,-33.890976990189,"489",,ent,
18.8141380398102,-33.8761303799525,"490",,sgn,
18.8053880900229,-33.8776946103981,"491",,sgn,
18.8037226097868,-33.8779757399754,"492",,ent,
18.7951848000842,-33.8780075000505,"493",,sgn,
18.7946005802057,-33.8779989501548,"494",,sgn,
18.7924855800039,-33.8779936703478,"495",,sgn,
18.7900059598169,-33.87798420038,"496",,sgn,
18.7413876495462,-33.8908132903447,"497",,,
18.7388270597343,-33.8926154804185,"498",,,
18.7284231100999,-33.9001305304769,"499",,,
18.7268314716783,-33.9008149591941,"500",,,
18.7153313300869,-33.9012188397671,"501",,,
18.7213424104076,-33.9026534797835,"502",,,
18.7233964964722,-33.9018424320844,"503",,,
18.7244129540779,-33.9014889104403,"504",,,
18.7264048426332,-33.9007436885061,"505",,,
18.7314031303927,-33.8987190198011,"506",,,
18.7346883294312,-33.8956218197134,"507",,,
18.7605672898928,-33.881083910449,"508",,,
18.7665542295694,-33.8788282601209,"509",,,
18.7813544103719,-33.8779009700426,"510",,,
18.7850007002732,-33.8779076704526,"511",,,
18.789334149815,-33.8779207497235,"512",,,
18.7899881897089,-33.8779194895874,"513",,,
18.7926490196926,-33.8779189097439,"514",,,
18.8018071700707,-33.8779603997677,"515",,,
18.8039754899833,-33.8778703802458,"516",,,
18.8121031696118,-33.8654765594903,"517",,sgn,
18.8042178098388,-33.848581320246,"518",,sgn,
18.7981585302859,-33.8372692698882,"519",,sgn,
18.7972930205336,-33.8355077298951,"520",,sgn,
18.7960007802466,-33.8301350999496,"521",,sgn,
18.7958613001233,-33.8298999899513,"522",,sgn,
18.7946175104522,-33.8281175797209,"523",,sgn,
18.7943374696796,-33.8270038702006,"524",,entrance,
18.7955522596161,-33.8266381703588,"525",,Rest. bld,
18.7976396097324,-33.83514537978,"526",,entrance,
18.7977792499943,-33.8344433195373,"527",,celler,
18.8278496598853,-33.8918465302459,"528",,sgn,
18.828077059979,-33.8915817402126,"529",,entrance,
18.8293247895453,-33.8901165003683,"530",,farm bld,
18.8477303597948,-33.8990300695751,"531",,,
18.8387352405297,-33.900554240452,"532",,,
18.833719259533,-33.8992078500054,"533",,,
18.8369836801879,-33.8986322698077,"534",,,
18.8274475801271,-33.8917462803483,"535",,,
18.826564970077,-33.8927464904167,"536",,celler,
18.8253557100236,-33.8905056801846,"537",,entrance,
18.8236854498514,-33.8912928200745,"538",,celler,
18.8239917297075,-33.8890078295794,"539",,entrance,
18.8186838895967,-33.8897810601846,"540",,celler,
18.8085305504615,-33.8766725199783,"541",,celler,
18.805335030146,-33.8815791202141,"542",,golf/confe,
18.8017859694874,-33.9048765296274,"543",,sgn,
18.8063482400706,-33.900156770326,"544",,,
18.7921463595645,-33.879648179968,"545",,entrance,
18.7912742194977,-33.8981855097113,"546",,celler,
18.7876733596809,-33.8781707796708,"547",,celler,
18.7541900000457,-33.9092400697544,"548",,entrance,
18.754723510352,-33.9094395597356,"549",,celler,
18.7546689398634,-33.9193819997298,"550",,celler,
18.753150479889,-33.9076189196874,"551",,sgn,
18.7678201496264,-33.9118876602769,"552",,,
18.7343398438289,-33.8961814922004,"553",,entrance,
18.734760250481,-33.8969988802142,"554",,celler,
18.7279559900975,-33.9018149604051,"555",,entrance,
18.7360832502177,-33.913302439992,"556",,celler,
18.7374214204394,-33.9158172597874,"557",,entrance,
18.7402653104563,-33.920943969675,"558",,,
18.723179560295,-33.9016648396521,"559",,entrance,
18.7198494299967,-33.9006636196142,"560",,,
18.7639256704895,-33.8800246898123,"561",,entrance,
18.7614917299813,-33.8780080902567,"562",,celler,
18.7806747999681,-33.8729586599184,"563",,entrance,
18.7759489198865,-33.8625389496549,"564",,,
18.8034228703638,-33.8473944501773,"565",,,
18.7954633300561,-33.8339256495788,"566",,entrance,
18.7925078703198,-33.8371456403482,"567",,celler,
18.5591459464271,-33.8218880150329,"568",Durbanville,brown sign,./1.png
18.5648829547817,-33.820455004627,"569",Durbanville,brown sign,./1.png
